Région / Region,Technologie / Technology,Total Volume Auctionned,Total Volume Sold,Weighted Average Price (€ / MWh),My Total Volume,My Weighted Average Price (€ / MWh),Number of winners per couple region/technology
Bretagne,Solaire,3509,3509,"1,22",-,-,2
Centre-Val de Loire,Solaire,10926,10926,"1,21",-,-,2
Grand Est,Solaire,13057,13057,"1,22",-,-,4
Haut-de-France,Solaire,4815,4815,"1,22",-,-,2
ÃŽle-de-France,Solaire,2064,2064,"1,26",-,-,4
Normandie,Solaire,3222,3222,"1,22",-,-,1
Nouvelle-Aquitaine,Solaire,108200,108200,"1,15",-,-,6
Occitanie,Solaire,85309,85309,"1,23",-,-,5
Pays de la Loire,Solaire,12398,12398,"1,29",-,-,2
Provence-Alpes-CÃ´te d'Azur,Solaire,83100,83100,"1,34",-,-,6
,,,,,,,
