RÃ©gion / Region,Technologie / Technology,Total Volume Auctionned,Total Volume Sold,Weighted Average Price (€ / MWh),My Total Volume,My Weighted Average Price (â‚¬ / MWh),Number of winners per couple region/technology
Provence-Alpes-CÃ´te d'Azur,Eolien onshore,9535,9535,"7,42",-,-,3
Auvergne-RhÃ´ne-Alpes,Hydraulique,53079,53079,"7,85",-,-,2
Bourgogne-Franche-ComtÃ©,Hydraulique,13288,13288,"7,36",-,-,3
Bretagne,Hydraulique,239,239,"7,86",-,-,1
Centre-Val de Loire,Hydraulique,603,603,"7,86",-,-,1
Grand Est,Hydraulique,20197,20197,"7,5",-,-,1
Haut-de-France,Hydraulique,289,289,"7,86",-,-,1
ÃŽle-de-France,Hydraulique,634,634,"7,86",-,-,1
Normandie,Hydraulique,877,877,"7,86",-,-,1
Nouvelle-Aquitaine,Hydraulique,10316,10316,"7,38",-,-,2
Occitanie,Hydraulique,18883,18883,"7,51",-,-,3
Pays de la Loire,Hydraulique,79,79,"7,86",-,-,1
Provence-Alpes-CÃ´te d'Azur,Hydraulique,12064,12064,"7,4",-,-,4
Auvergne-RhÃ´ne-Alpes,Solaire,61692,61692,"8,6",-,-,3
Bourgogne-Franche-ComtÃ©,Solaire,19910,19910,"8,25",-,-,5
Bretagne,Solaire,5233,5233,"7,83",-,-,3
Centre-Val de Loire,Solaire,28757,28757,"7,76",-,-,2
Grand Est,Solaire,42763,42763,"7,25",-,-,1
Haut-de-France,Solaire,17453,17453,"7,45",-,-,4
ÃŽle-de-France,Solaire,5815,5815,"7,38",-,-,1
Normandie,Solaire,6808,6808,"7,75",-,-,1
